episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,reward,novelty,causal_gain,data_value,cumulative_data_value
21,1.0,83,89,6,0.067416,83.0,60.0,19.304494,18.0,1.072472,1.383333,19.204494,0.004964,0.06,19.204463,0.100589,83.05,24.915,614.294749
22,1.0,97,102,5,0.04902,97.0,60.0,24.345098,18.0,1.352505,1.616667,24.245098,0.003866,0.06,24.245098,0.051791,97.571429,29.271429,643.566178
23,1.0,78,83,5,0.060241,78.0,60.0,18.701205,18.0,1.038956,1.3,18.601205,0.00389,0.06,18.601204,0.147418,77.909091,23.372727,666.938905
24,1.0,91,96,5,0.052083,91.0,60.0,22.560417,18.0,1.253356,1.516667,22.460417,0.003098,0.06,22.460417,0.022103,91.73913,27.521739,694.460644
25,1.0,93,99,6,0.060606,93.0,60.0,22.263636,18.0,1.236869,1.55,22.163636,0.003159,0.06,22.163634,0.00928,93.166667,27.95,722.410644
26,1.0,78,85,7,0.082353,78.0,60.0,16.976471,18.0,0.943137,1.3,16.876471,0.005394,0.06,16.8764,0.147362,78.08,23.424,745.834644
27,1.0,100,109,9,0.082569,100.0,60.0,21.743119,18.0,1.207951,1.666667,21.643119,0.007651,0.06,21.642998,0.09362,100.653846,30.196154,776.030798
28,1.0,96,102,6,0.058824,96.0,60.0,23.152941,18.0,1.286275,1.6,23.052941,0.007533,0.06,23.052941,0.041801,95.814815,28.744444,804.775242
29,1.0,80,85,5,0.058824,80.0,60.0,19.294118,18.0,1.071895,1.333333,19.194118,0.007416,0.06,19.194118,0.120579,79.964286,23.989286,828.764528
30,1.0,107,115,8,0.069565,107.0,60.0,24.656522,18.0,1.369807,1.783333,24.556522,0.008372,0.06,24.556451,0.154324,107.517241,32.255172,861.019701
31,1.0,97,103,6,0.058252,97.0,60.0,23.449515,18.0,1.302751,1.616667,23.349515,0.008197,0.06,23.349515,0.049509,96.6,28.98,889.999701
32,1.0,97,102,5,0.04902,97.0,60.0,24.345098,18.0,1.352505,1.616667,24.245098,0.007099,0.06,24.245098,0.054389,96.935484,29.080645,919.080346
33,1.0,81,87,6,0.068966,81.0,60.0,18.713793,18.0,1.039655,1.35,18.613793,0.007996,0.06,18.613729,0.115057,80.9375,24.28125,943.361596
34,1.0,103,108,5,0.046296,103.0,60.0,26.131481,18.0,1.451749,1.716667,26.031481,0.006626,0.06,26.031481,0.113734,103.424242,31.027273,974.388868
35,1.0,94,97,3,0.030928,94.0,60.0,25.292784,18.0,1.405155,1.566667,25.192784,0.003718,0.06,25.192784,0.063931,93.764706,28.129412,1002.51828
36,1.0,82,87,5,0.057471,82.0,60.0,19.887356,18.0,1.104853,1.366667,19.787356,0.003466,0.06,19.787356,0.104685,82.028571,24.608571,1027.126852
37,1.0,95,100,5,0.05,95.0,60.0,23.75,18.0,1.319444,1.583333,23.65,0.002466,0.06,23.65,0.03581,95.361111,28.608333,1055.735185
38,1.0,83,88,5,0.056818,83.0,60.0,20.184091,18.0,1.121338,1.383333,20.084091,0.002147,0.06,20.084091,0.092683,83.0,24.9,1080.635185
39,1.0,85,89,4,0.044944,85.0,60.0,21.679775,18.0,1.204432,1.416667,21.579775,0.000642,0.06,21.579775,0.076631,85.315789,25.594737,1106.229922
40,1.0,77,82,5,0.060976,77.0,60.0,18.404878,18.0,1.022493,1.283333,18.304878,0.000739,0.06,18.304877,0.148259,77.25641,23.176923,1129.406845
41,1.0,93,99,6,0.060606,93.0,60.0,22.263636,18.0,1.236869,1.55,22.163636,0.0008,0.06,22.163636,0.015391,93.45,28.035,1157.441845
42,1.0,82,87,5,0.057471,82.0,60.0,19.887356,18.0,1.104853,1.366667,19.787356,0.000547,0.06,19.787356,0.095154,82.04878,24.614634,1182.056479
43,1.0,81,86,5,0.05814,81.0,60.0,19.590698,18.0,1.088372,1.35,19.490698,0.000361,0.06,19.490698,0.102866,81.309524,24.392857,1206.449336
44,1.0,95,99,4,0.040404,95.0,60.0,24.661616,18.0,1.37009,1.583333,24.561616,0.0,0.06,24.561616,0.055773,95.325581,28.597674,1235.047011
45,1.0,93,102,9,0.088235,93.0,60.0,19.694118,18.0,1.094118,1.55,19.594118,0.002824,0.06,19.594118,0.060176,93.0,27.9,1262.947011
46,1.0,94,100,6,0.06,94.0,60.0,22.56,18.0,1.253333,1.566667,22.46,0.002824,0.06,22.46,0.028265,94.044444,28.213333,1291.160344
47,1.0,85,90,5,0.055556,85.0,60.0,20.777778,18.0,1.154321,1.416667,20.677778,0.002379,0.06,20.677778,0.063043,85.021739,25.506522,1316.666866
48,1.0,93,98,5,0.05102,93.0,60.0,23.155102,18.0,1.286395,1.55,23.055102,0.001481,0.06,23.055102,0.026322,93.212766,27.96383,1344.630695
49,1.0,108,114,6,0.052632,108.0,60.0,26.715789,18.0,1.484211,1.8,26.615789,0.000744,0.06,26.615789,0.169208,108.041667,32.4125,1377.043195
50,1.0,81,86,5,0.05814,81.0,60.0,19.590698,18.0,1.088372,1.35,19.490698,0.000558,0.06,19.490698,0.104854,80.734694,24.220408,1401.263604
51,1.0,81,85,4,0.047059,81.0,60.0,20.488235,18.0,1.138235,1.35,20.388235,0.0,0.06,20.388235,0.105131,81.28,24.384,1425.647604
52,1.0,91,96,5,0.052083,91.0,60.0,22.560417,18.0,1.253356,1.516667,22.460417,0.0,0.06,22.460417,0.014576,91.27451,27.382353,1453.029957
53,1.0,93,100,7,0.07,93.0,60.0,21.39,18.0,1.188333,1.55,21.29,0.001,0.06,21.29,0.030549,93.076923,27.923077,1480.953033
54,1.0,83,88,5,0.056818,83.0,60.0,20.184091,18.0,1.121338,1.383333,20.084091,0.000682,0.06,20.084091,0.079317,83.037736,24.911321,1505.864354
55,1.0,91,96,5,0.052083,91.0,60.0,22.560417,18.0,1.253356,1.516667,22.460417,0.0,0.06,22.460417,0.014018,91.222222,27.366667,1533.231021
56,1.0,76,82,6,0.073171,76.0,60.0,17.239024,18.0,0.957724,1.266667,17.139024,0.001317,0.06,17.139024,0.153888,76.072727,22.821818,1556.052839
57,1.0,95,99,4,0.040404,95.0,60.0,24.661616,18.0,1.37009,1.583333,24.561616,0.0,0.06,24.561616,0.053725,95.339286,28.601786,1584.654625
58,1.0,101,109,8,0.073394,101.0,60.0,22.887156,18.0,1.271509,1.683333,22.787156,0.001339,0.06,22.787156,0.103641,101.0,30.3,1614.954625
59,1.0,92,97,5,0.051546,92.0,60.0,22.857732,18.0,1.269874,1.533333,22.757732,0.000494,0.06,22.757732,0.014302,91.896552,27.568966,1642.52359
60,1.0,87,93,6,0.064516,87.0,60.0,20.487097,18.0,1.138172,1.45,20.387097,0.000946,0.06,20.387095,0.046516,87.050847,26.115254,1668.638845
61,1.0,89,94,5,0.053191,89.0,60.0,21.965957,18.0,1.220331,1.483333,21.865957,0.000265,0.06,21.865957,0.02451,89.133333,26.74,1695.378845
62,1.0,104,109,5,0.045872,104.0,60.0,26.429358,18.0,1.468298,1.733333,26.329358,0.0,0.06,26.329358,0.132776,104.098361,31.229508,1726.608353
63,1.0,104,112,8,0.071429,104.0,60.0,23.771429,18.0,1.320635,1.733333,23.671429,0.001143,0.06,23.671429,0.130161,103.854839,31.156452,1757.764804
64,1.0,95,103,8,0.07767,95.0,60.0,21.121359,18.0,1.173409,1.583333,21.021359,0.00291,0.06,21.021339,0.052028,94.857143,28.457143,1786.221947
65,1.0,79,83,4,0.048193,79.0,60.0,19.892771,18.0,1.105154,1.316667,19.792771,0.001729,0.06,19.792771,0.126656,79.0,23.7,1809.921947
66,1.0,79,84,5,0.059524,79.0,60.0,18.997619,18.0,1.055423,1.316667,18.897619,0.001682,0.06,18.897619,0.120427,79.246154,23.773846,1833.695793
67,1.0,85,88,3,0.034091,85.0,60.0,22.602273,18.0,1.255682,1.416667,22.502273,0.0,0.06,22.502273,0.071524,85.242424,25.572727,1859.268521
68,1.0,109,116,7,0.060345,109.0,60.0,26.122414,18.0,1.451245,1.816667,26.022414,3.4e-05,0.06,26.022414,0.190085,109.149254,32.744776,1892.013297
69,1.0,90,98,8,0.081633,90.0,60.0,19.653061,18.0,1.091837,1.5,19.553061,0.002198,0.06,19.55306,0.048321,89.794118,26.938235,1918.951532
70,1.0,94,102,8,0.078431,94.0,60.0,20.827451,18.0,1.157081,1.566667,20.727451,0.004041,0.06,20.72741,0.054422,94.072464,28.221739,1947.173271
71,1.0,83,90,7,0.077778,83.0,60.0,18.444444,18.0,1.024691,1.383333,18.344444,0.005819,0.06,18.344373,0.083188,83.014286,24.904286,1972.077557
72,1.0,85,89,4,0.044944,85.0,60.0,21.679775,18.0,1.204432,1.416667,21.579775,0.004313,0.06,21.579775,0.060864,85.169014,25.550704,1997.628261
73,1.0,87,93,6,0.064516,87.0,60.0,20.487097,18.0,1.138172,1.45,20.387097,0.004765,0.06,20.387077,0.033535,87.138889,26.141667,2023.769928
74,1.0,87,93,6,0.064516,87.0,60.0,20.487097,18.0,1.138172,1.45,20.387097,0.005216,0.06,20.387075,0.035183,87.109589,26.132877,2049.902804
75,1.0,98,103,5,0.048544,98.0,60.0,24.642718,18.0,1.36904,1.633333,24.542718,0.004071,0.06,24.542718,0.0803,98.108108,29.432432,2079.335237
76,1.0,90,106,16,0.150943,90.0,60.0,13.415094,18.0,0.745283,1.5,13.315094,0.013165,0.06,13.314724,0.183932,89.96,26.988,2106.323237
77,1.0,105,112,7,0.0625,105.0,60.0,24.9375,18.0,1.385417,1.75,24.8375,0.013415,0.06,24.837467,0.144063,105.065789,31.519737,2137.842974
78,1.0,86,91,5,0.054945,86.0,60.0,21.074725,18.0,1.170818,1.433333,20.974725,0.012909,0.06,20.974725,0.048061,85.87013,25.761039,2163.604013
79,1.0,87,91,4,0.043956,87.0,60.0,22.275824,18.0,1.237546,1.45,22.175824,0.011305,0.06,22.175824,0.047332,87.115385,26.134615,2189.738628
80,1.0,94,100,6,0.06,94.0,60.0,22.56,18.0,1.253333,1.566667,22.46,0.011305,0.06,22.46,0.03361,94.101266,28.23038,2217.969008
81,1.0,103,111,8,0.072072,103.0,60.0,23.476577,18.0,1.304254,1.716667,23.376577,0.012512,0.06,23.37644,0.12872,103.0125,30.90375,2248.872758
82,1.0,86,92,6,0.065217,86.0,60.0,20.191304,18.0,1.121739,1.433333,20.091304,0.013034,0.06,20.091239,0.046345,85.901235,25.77037,2274.643128
83,1.0,98,105,7,0.066667,98.0,60.0,22.866667,18.0,1.27037,1.633333,22.766667,0.013701,0.06,22.76658,0.078343,98.109756,29.432927,2304.076055
84,1.0,116,121,5,0.041322,116.0,60.0,30.006612,18.0,1.667034,1.933333,29.906612,0.011833,0.06,29.906612,0.256521,115.963855,34.789157,2338.865212
85,1.0,107,116,9,0.077586,107.0,60.0,23.798276,18.0,1.322126,1.783333,23.698276,0.013592,0.06,23.698068,0.165055,106.75,32.025,2370.890212
86,1.0,79,85,6,0.070588,79.0,60.0,18.123529,18.0,1.006863,1.316667,18.023529,0.01465,0.06,18.023386,0.122972,78.858824,23.657647,2394.547859
87,1.0,105,110,5,0.045455,105.0,60.0,26.727273,18.0,1.484848,1.75,26.627273,0.013196,0.06,26.627273,0.142652,105.186047,31.555814,2426.103673
88,1.0,81,86,5,0.05814,81.0,60.0,19.590698,18.0,1.088372,1.35,19.490698,0.01301,0.06,19.490698,0.102955,80.885057,24.265517,2450.36919
89,1.0,97,104,7,0.067308,97.0,60.0,22.571154,18.0,1.253953,1.616667,22.471154,0.013741,0.06,22.471059,0.058972,97.159091,29.147727,2479.516917
90,1.0,97,103,6,0.058252,97.0,60.0,23.449515,18.0,1.302751,1.616667,23.349515,0.013566,0.06,23.349515,0.055565,96.977528,29.093258,2508.610176
91,1.0,84,88,4,0.045455,84.0,60.0,21.381818,18.0,1.187879,1.4,21.281818,0.012111,0.06,21.281818,0.084992,83.977778,25.193333,2533.803509
92,1.0,92,99,7,0.070707,92.0,60.0,21.094949,18.0,1.171942,1.533333,20.994949,0.013182,0.06,20.99482,0.019496,92.120879,27.636264,2561.439773
93,1.0,99,105,6,0.057143,99.0,60.0,24.042857,18.0,1.335714,1.65,23.942857,0.012896,0.06,23.942857,0.071494,99.032609,29.709783,2591.149555
94,1.0,82,88,6,0.068182,82.0,60.0,19.009091,18.0,1.056061,1.366667,18.909091,0.013714,0.06,18.908985,0.103514,81.956989,24.587097,2615.736652
95,1.0,110,116,6,0.051724,110.0,60.0,27.310345,18.0,1.517241,1.833333,27.210345,0.012887,0.06,27.210345,0.181141,110.138298,33.041489,2648.778141
96,1.0,117,125,8,0.064,117.0,60.0,27.612,18.0,1.534,1.95,27.512,0.013287,0.06,27.511948,0.246666,116.842105,35.052632,2683.830773
97,1.0,94,101,7,0.069307,94.0,60.0,21.685149,18.0,1.20473,1.566667,21.585149,0.014218,0.06,21.585025,0.020131,93.770833,28.13125,2711.962023
98,1.0,82,88,6,0.068182,82.0,60.0,19.009091,18.0,1.056061,1.366667,18.909091,0.015036,0.06,18.908975,0.11061,82.010309,24.603093,2736.565116
99,1.0,91,96,5,0.052083,91.0,60.0,22.560417,18.0,1.253356,1.516667,22.460417,0.014244,0.06,22.460417,0.026283,91.132653,27.339796,2763.904912
100,1.0,88,94,6,0.06383,88.0,60.0,20.782979,18.0,1.15461,1.466667,20.682979,0.014627,0.06,20.682924,0.04438,88.040404,26.412121,2790.317033
101,1.0,83,88,5,0.056818,83.0,60.0,20.184091,18.0,1.121338,1.383333,20.084091,0.014309,0.06,20.084091,0.096149,83.070707,24.921212,2815.238245
102,1.0,102,108,6,0.055556,102.0,60.0,24.933333,18.0,1.385185,1.7,24.833333,0.013864,0.06,24.833333,0.094918,102.10101,30.630303,2845.868548
103,1.0,94,105,11,0.104762,94.0,60.0,18.352381,18.0,1.019577,1.566667,18.252381,0.018341,0.06,18.25176,0.085916,93.888889,28.166667,2874.035215
104,1.0,89,93,4,0.043011,89.0,60.0,22.872043,18.0,1.270669,1.483333,22.772043,0.016642,0.06,22.772043,0.055298,88.777778,26.633333,2900.668548
105,1.0,93,98,5,0.05102,93.0,60.0,23.155102,18.0,1.286395,1.55,23.055102,0.015744,0.06,23.055102,0.023223,93.040404,27.912121,2928.580669
106,1.0,85,89,4,0.044944,85.0,60.0,21.679775,18.0,1.204432,1.416667,21.579775,0.014238,0.06,21.579775,0.087454,84.888889,25.466667,2954.047336
107,1.0,82,88,6,0.068182,82.0,60.0,19.009091,18.0,1.056061,1.366667,18.909091,0.015056,0.06,18.908974,0.112472,82.050505,24.615152,2978.662487
108,1.0,116,125,9,0.072,116.0,60.0,26.448,18.0,1.469333,1.933333,26.348,0.016256,0.06,26.347819,0.231564,115.979798,34.793939,3013.456427
109,1.0,89,95,6,0.063158,89.0,60.0,21.078947,18.0,1.171053,1.483333,20.978947,0.016572,0.06,20.978896,0.042216,88.767677,26.630303,3040.08673
110,1.0,94,100,6,0.06,94.0,60.0,22.56,18.0,1.253333,1.566667,22.46,0.016572,0.06,22.46,0.0101,94.131313,28.239394,3068.326124
111,1.0,97,103,6,0.058252,97.0,60.0,23.449515,18.0,1.302751,1.616667,23.349515,0.016397,0.06,23.349515,0.038061,97.060606,29.118182,3097.444306
112,1.0,97,102,5,0.04902,97.0,60.0,24.345098,18.0,1.352505,1.616667,24.245098,0.015299,0.06,24.245098,0.044882,96.909091,29.072727,3126.517033
113,1.0,100,105,5,0.047619,100.0,60.0,25.238095,18.0,1.402116,1.666667,25.138095,0.014061,0.06,25.138095,0.073441,99.909091,29.972727,3156.48976
114,1.0,105,109,4,0.036697,105.0,60.0,27.646789,18.0,1.535933,1.75,27.546789,0.011731,0.06,27.546789,0.128346,105.0,31.5,3187.98976
115,1.0,97,105,8,0.07619,97.0,60.0,21.709524,18.0,1.206085,1.616667,21.609524,0.01335,0.06,21.609334,0.046054,96.969697,29.090909,3217.080669
116,1.0,94,101,7,0.069307,94.0,60.0,21.685149,18.0,1.20473,1.566667,21.585149,0.014281,0.06,21.585024,0.014468,94.212121,28.263636,3245.344305
117,1.0,92,100,8,0.08,92.0,60.0,20.24,18.0,1.124444,1.533333,20.14,0.016281,0.06,20.139714,0.041095,92.040404,27.612121,3272.956427
118,1.0,80,86,6,0.069767,80.0,60.0,18.418605,18.0,1.023256,1.333333,18.318605,0.017257,0.06,18.318446,0.142994,79.929293,23.978788,3296.935215
119,1.0,96,102,6,0.058824,96.0,60.0,23.152941,18.0,1.286275,1.6,23.052941,0.01714,0.06,23.052941,0.025159,96.141414,28.842424,3325.777639
120,1.0,97,101,4,0.039604,97.0,60.0,25.258416,18.0,1.403245,1.616667,25.158416,0.0151,0.06,25.158416,0.056782,96.979798,29.093939,3354.871578
121,1.0,104,115,11,0.095652,104.0,60.0,21.252174,18.0,1.180676,1.733333,21.152174,0.018665,0.06,21.151636,0.121637,103.858586,31.157576,3386.029154
122,1.0,106,112,6,0.053571,106.0,60.0,26.121429,18.0,1.45119,1.766667,26.021429,0.018022,0.06,26.021429,0.118771,105.929293,31.778788,3417.807942
123,1.0,88,93,5,0.053763,88.0,60.0,21.668817,18.0,1.203823,1.466667,21.568817,0.017399,0.06,21.568817,0.069171,87.717172,26.315152,3444.123093
124,1.0,100,105,5,0.047619,100.0,60.0,25.238095,18.0,1.402116,1.666667,25.138095,0.016161,0.06,25.138095,0.060811,100.030303,30.009091,3474.132184
125,1.0,94,102,8,0.078431,94.0,60.0,20.827451,18.0,1.157081,1.566667,20.727451,0.018004,0.06,20.727153,0.033874,93.929293,28.178788,3502.310972
126,1.0,103,108,5,0.046296,103.0,60.0,26.131481,18.0,1.451749,1.716667,26.031481,0.016634,0.06,26.031481,0.087642,102.838384,30.851515,3533.162487
127,1.0,83,92,9,0.097826,83.0,60.0,16.780435,18.0,0.932246,1.383333,16.680435,0.020416,0.06,16.679806,0.142314,82.969697,24.890909,3558.053396
128,1.0,98,104,6,0.057692,98.0,60.0,23.746154,18.0,1.319231,1.633333,23.646154,0.020185,0.06,23.646154,0.033823,98.131313,29.439394,3587.49279
129,1.0,80,85,5,0.058824,80.0,60.0,19.294118,18.0,1.071895,1.333333,19.194118,0.020068,0.06,19.194118,0.149493,79.818182,23.945455,3611.438245
130,1.0,84,93,9,0.096774,84.0,60.0,17.070968,18.0,0.948387,1.4,16.970968,0.023745,0.06,16.97023,0.128725,84.272727,25.281818,3636.720063
131,1.0,92,97,5,0.051546,92.0,60.0,22.857732,18.0,1.269874,1.533333,22.757732,0.0229,0.06,22.757732,0.033983,92.131313,27.639394,3664.359457
132,1.0,85,88,3,0.034091,85.0,60.0,22.602273,18.0,1.255682,1.416667,22.502273,0.020309,0.06,22.502273,0.109231,85.050505,25.515152,3689.874608
133,1.0,80,85,5,0.058824,80.0,60.0,19.294118,18.0,1.071895,1.333333,19.194118,0.020191,0.06,19.194118,0.143696,79.959596,23.987879,3713.862487
134,1.0,92,97,5,0.051546,92.0,60.0,22.857732,18.0,1.269874,1.533333,22.757732,0.019346,0.06,22.757732,0.027935,92.232323,27.669697,3741.532184
135,1.0,91,95,4,0.042105,91.0,60.0,23.468421,18.0,1.303801,1.516667,23.368421,0.017556,0.06,23.368421,0.046261,91.020202,27.306061,3768.838245
136,1.0,79,85,6,0.070588,79.0,60.0,18.123529,18.0,1.006863,1.316667,18.023529,0.018615,0.06,18.023344,0.143345,78.909091,23.672727,3792.510972
137,1.0,102,110,8,0.072727,102.0,60.0,23.181818,18.0,1.287879,1.7,23.081818,0.019888,0.06,23.081581,0.09118,102.161616,30.648485,3823.159457
138,1.0,78,82,4,0.04878,78.0,60.0,19.595122,18.0,1.088618,1.3,19.495122,0.018766,0.06,19.495122,0.153469,77.808081,23.342424,3846.501881
139,1.0,77,81,4,0.049383,77.0,60.0,19.297531,18.0,1.072085,1.283333,19.197531,0.017704,0.06,19.197531,0.162513,77.070707,23.121212,3869.623093
140,1.0,98,103,5,0.048544,98.0,60.0,24.642718,18.0,1.36904,1.633333,24.542718,0.016559,0.06,24.542718,0.05857,98.0,29.4,3899.023093
141,1.0,99,106,7,0.066038,99.0,60.0,23.162264,18.0,1.286792,1.65,23.062264,0.017162,0.06,23.062164,0.063932,98.949495,29.684848,3928.707942
142,1.0,99,106,7,0.066038,99.0,60.0,23.162264,18.0,1.286792,1.65,23.062264,0.017766,0.06,23.062161,0.060837,98.828283,29.648485,3958.356427
143,1.0,93,98,5,0.05102,93.0,60.0,23.155102,18.0,1.286395,1.55,23.055102,0.016868,0.06,23.055102,0.019842,92.818182,27.845455,3986.201881
144,1.0,112,118,6,0.050847,112.0,60.0,27.905085,18.0,1.550282,1.866667,27.805085,0.015953,0.06,27.805085,0.19084,112.020202,33.606061,4019.807942
145,1.0,86,90,4,0.044444,86.0,60.0,21.977778,18.0,1.220988,1.433333,21.877778,0.014397,0.06,21.877778,0.082649,85.808081,25.742424,4045.550366
146,1.0,116,122,6,0.04918,116.0,60.0,29.095082,18.0,1.616393,1.933333,28.995082,0.013315,0.06,28.995082,0.22968,116.080808,34.824242,4080.374608
147,1.0,71,76,5,0.065789,71.0,60.0,16.628947,18.0,0.92383,1.183333,16.528947,0.013894,0.06,16.52887,0.221502,70.686869,21.206061,4101.580669
148,1.0,76,82,6,0.073171,76.0,60.0,17.239024,18.0,0.957724,1.266667,17.139024,0.015211,0.06,17.138841,0.16869,76.222222,22.866667,4124.447336
149,1.0,91,97,6,0.061856,91.0,60.0,21.671134,18.0,1.203952,1.516667,21.571134,0.015397,0.06,21.571106,0.015825,91.323232,27.39697,4151.844305
150,1.0,82,87,5,0.057471,82.0,60.0,19.887356,18.0,1.104853,1.366667,19.787356,0.015144,0.06,19.787356,0.105544,81.89899,24.569697,4176.414002
151,1.0,80,89,9,0.101124,80.0,60.0,15.910112,18.0,0.883895,1.333333,15.810112,0.019256,0.06,15.80949,0.14885,79.989899,23.99697,4200.410972
152,1.0,84,89,5,0.05618,84.0,60.0,20.480899,18.0,1.137828,1.4,20.380899,0.018874,0.06,20.380899,0.084152,84.111111,25.233333,4225.644305
153,1.0,89,94,5,0.053191,89.0,60.0,21.965957,18.0,1.220331,1.483333,21.865957,0.018194,0.06,21.865957,0.033823,89.090909,26.727273,4252.371578
154,1.0,79,83,4,0.048193,79.0,60.0,19.892771,18.0,1.105154,1.316667,19.792771,0.017013,0.06,19.792771,0.131133,78.939394,23.681818,4276.053396
155,1.0,98,105,7,0.066667,98.0,60.0,22.866667,18.0,1.27037,1.633333,22.766667,0.01768,0.06,22.766553,0.064365,98.121212,29.436364,4305.48976
156,1.0,90,94,4,0.042553,90.0,60.0,23.170213,18.0,1.287234,1.5,23.070213,0.015935,0.06,23.070213,0.039953,89.777778,26.933333,4332.423093
157,1.0,77,82,5,0.060976,77.0,60.0,18.404878,18.0,1.022493,1.283333,18.304878,0.016032,0.06,18.304863,0.149005,77.050505,23.115152,4355.538245
158,1.0,99,105,6,0.057143,99.0,60.0,24.042857,18.0,1.335714,1.65,23.942857,0.015747,0.06,23.942857,0.072258,99.242424,29.772727,4385.310972
159,1.0,94,100,6,0.06,94.0,60.0,22.56,18.0,1.253333,1.566667,22.46,0.015747,0.06,22.46,0.025401,93.929293,28.178788,4413.48976
160,1.0,103,112,9,0.080357,103.0,60.0,22.623214,18.0,1.256845,1.716667,22.523214,0.017782,0.06,22.522894,0.12154,102.929293,30.878788,4444.368548
161,1.0,98,104,6,0.057692,98.0,60.0,23.746154,18.0,1.319231,1.633333,23.646154,0.017552,0.06,23.646154,0.062807,97.858586,29.357576,4473.726124
162,1.0,87,96,9,0.09375,87.0,60.0,17.94375,18.0,0.996875,1.45,17.84375,0.020927,0.06,17.843158,0.082219,87.060606,26.118182,4499.844305
163,1.0,106,111,5,0.045045,106.0,60.0,27.025225,18.0,1.501401,1.766667,26.925225,0.019431,0.06,26.925225,0.147938,106.171717,31.851515,4531.695821
164,1.0,102,111,9,0.081081,102.0,60.0,22.32973,18.0,1.240541,1.7,22.22973,0.021539,0.06,22.22932,0.110686,101.888889,30.566667,4562.262487
165,1.0,98,104,6,0.057692,98.0,60.0,23.746154,18.0,1.319231,1.633333,23.646154,0.021309,0.06,23.646154,0.064369,97.767677,29.330303,4591.59279
